output_mat:
[4,3,1,2,4,-7,12,-8,9,6,14,12,13,-1,-3,-6]
[6,1,1,-2,4,-12,13,-9,16,-18,16,14,18,0,-2,-6]
[2,-1,7,0,3,-12,15,-9,-2,-3,0,14,18,-6,-3,-11]
[0,1,4,2,5,-9,16,-6,10,8,1,12,18,-6,-5,-10]
[1,1,2,2,2,-9,17,-5,16,-7,10,13,18,-5,-6,-12]
[0,-5,6,3,3,-10,16,-5,12,-14,4,14,16,-5,-8,-13]
[0,5,4,3,3,-10,16,-6,7,10,2,13,19,-4,-5,-12]
[-1,-4,2,1,2,-11,15,-6,9,-11,5,14,18,-6,-7,-12]
[0,2,1,4,2,-10,14,-6,18,6,3,13,17,-5,-6,-10]
[0,4,2,3,2,-11,12,-6,12,-8,8,14,14,-4,-1,-9]
[1,-5,4,4,4,-11,14,-6,2,-1,6,14,13,-4,-3,-11]
[0,-6,3,4,5,-9,16,-7,12,-1,5,13,14,-5,-6,-12]
[-1,1,1,2,6,-11,18,-9,11,-5,7,13,17,-5,-4,-12]
[0,1,1,2,6,-13,18,-10,9,-5,6,14,19,-5,-3,-12]
[-2,3,-1,2,5,-16,16,-12,10,-3,4,16,19,-5,-2,-10]
[-2,5,-3,1,4,-20,16,-14,5,2,7,19,21,-4,0,-7]
[1,2,-4,0,1,-23,13,-17,9,4,11,20,21,0,-2,-6]
[5,-1,-3,0,-3,-24,8,-17,8,3,14,21,20,2,-6,-6]
[5,-8,0,1,-2,-22,7,-17,0,1,11,20,18,3,-12,-7]
[5,-7,0,4,2,-19,11,-16,1,12,7,18,20,4,-18,-8]
[3,-7,-2,3,6,-15,14,-13,10,4,9,16,19,2,-21,-10]
[0,-5,-3,3,8,-13,16,-11,14,-2,8,14,17,-1,-18,-9]
[-1,2,-3,4,8,-12,16,-11,13,4,8,12,16,-1,-8,-7]
[-2,-5,-1,3,8,-14,13,-13,4,-11,6,13,15,-1,-7,-6]
[0,-3,-1,4,7,-14,13,-13,6,10,5,12,16,0,-7,-6]
[0,-6,0,2,5,-12,12,-11,11,-9,7,12,15,-2,-8,-9]
[0,-2,1,3,4,-10,12,-9,13,2,6,11,13,-3,-6,-9]
[0,0,1,1,3,-11,12,-9,6,-5,7,13,14,-2,-5,-7]
[1,-1,1,1,2,-12,12,-9,8,4,5,14,15,-1,-5,-7]
[3,0,1,0,1,-14,9,-10,11,1,7,15,15,-1,-7,-5]
[12,-3,5,-2,-3,-16,9,-8,9,6,18,18,17,2,-11,-7]
[4,-5,1,3,-4,-9,7,-2,4,3,0,11,10,1,-12,-8]
[10,-3,0,0,2,-12,7,-9,1,5,14,13,2,3,-4,-4]
[17,4,-1,-8,0,-20,5,-12,17,-11,14,15,2,15,-7,-3]
[12,4,4,-7,-1,-20,4,-12,15,-3,-3,16,2,4,-7,-10]
[11,12,1,-1,2,-14,7,-7,17,23,1,13,3,5,4,-11]
[12,4,0,-2,-2,-15,9,-5,2,-13,10,13,5,4,1,-13]
[9,6,7,1,-2,-14,9,-6,13,2,-4,13,5,4,-4,-12]
[9,5,3,0,0,-14,9,-6,9,10,-1,13,8,6,-5,-13]
[8,5,1,1,-1,-14,9,-7,16,-5,-2,13,7,5,-6,-9]
[7,11,-1,1,1,-14,8,-6,1,11,1,13,9,5,-4,-9]
[10,-3,0,-1,2,-15,9,-4,19,-1,7,14,6,7,-9,-9]
[8,5,2,1,0,-13,9,-1,15,6,4,15,0,4,-6,-11]
[4,8,-2,3,0,-12,12,-2,9,8,0,13,-3,0,-1,-11]
