output_mat:
[-2,6,3,-1,2,0,-15,2,-8,-14,-8,6,-5,2,-6,2,-24,1,17,-2,2,13,-2,0,6,11,7,11,-1,14,-5,0]
[-5,-5,-6,-5,-4,-8,6,0,-16,4,-4,2,3,-7,2,1,-20,7,7,-18,-9,15,-2,13,8,6,7,11,15,-5,-10,7]
[-3,-4,-3,-2,-5,-19,9,1,-10,4,-7,-2,2,-8,-2,-4,-23,7,6,-17,-10,17,-1,12,8,4,8,8,15,-5,-10,9]
[-3,-4,-4,-4,-2,-9,9,3,-12,4,-7,-3,-2,-7,-5,-5,-21,5,9,-16,-12,17,-1,9,6,2,8,11,15,-4,-6,2]
[-3,-3,-5,1,-1,-8,9,5,-13,6,-7,-1,-1,-9,-7,0,-21,6,6,-16,-13,17,1,7,7,0,7,12,15,-6,-11,3]
[-3,-8,-8,-3,-3,-5,11,1,-17,9,-5,0,1,-9,-1,1,-21,6,3,-17,-10,14,0,11,6,1,6,11,17,-7,-8,5]
[0,-6,-5,-5,1,-12,12,1,-14,6,-12,-2,1,-8,-3,-3,-22,4,5,-18,-9,15,-1,6,7,4,6,10,18,-4,-7,3]
[0,-5,-9,-5,3,-4,12,3,-18,4,-12,2,0,-10,-8,-6,-28,5,4,-22,-12,16,-2,5,8,4,8,15,23,-5,-10,-2]
[-2,-2,-9,-5,-4,12,7,4,-20,3,-6,6,-1,-8,-10,-6,-27,10,2,-20,-14,16,-4,11,9,1,8,22,20,-5,-11,0]
[-4,-8,-6,-5,-8,3,5,1,-11,5,-2,10,0,-5,-2,-3,-16,13,0,-20,-12,15,-4,10,4,-1,8,21,12,-2,-7,3]
[-1,-15,-3,-5,-2,-25,7,-5,-3,4,-7,6,0,-4,-5,-1,-23,15,3,-23,-12,16,-3,7,3,-6,8,12,17,-4,-3,2]
[1,-10,-4,-8,-1,-18,7,-8,-12,5,-11,0,-1,-7,-7,3,-29,13,4,-22,-11,16,0,8,6,-6,7,12,22,-5,-9,4]
[0,-10,-7,-5,-4,-9,8,-1,-13,4,-9,1,-1,-7,-8,-2,-27,10,5,-20,-10,16,-1,8,5,-1,7,11,21,-4,-11,5]
[-1,-5,-5,-2,-1,-1,9,3,-13,5,-9,-2,-1,-6,-6,-2,-23,8,5,-18,-12,19,0,8,5,3,7,10,16,-4,-9,3]
[-3,-4,-7,-2,-2,0,7,3,-12,5,-6,1,0,-7,-5,-3,-22,7,6,-15,-11,20,-1,12,6,3,5,13,17,-4,-7,1]
[-5,1,-7,1,-11,-8,6,3,-11,9,4,4,3,-7,-2,7,-8,9,2,-15,-12,10,-3,17,12,-9,6,17,16,-11,-10,4]
[0,7,1,-3,0,1,-13,4,-2,-19,-9,1,-6,-8,-5,-2,-15,-8,16,-3,10,17,0,4,9,13,1,8,0,15,-9,-4]
[-6,-11,-12,-9,-3,6,0,9,4,-5,6,5,10,-18,-4,17,-15,4,1,-11,-3,10,-2,6,8,0,5,8,5,-5,-12,-8]
[-7,-1,-4,1,-8,-14,0,-5,11,-8,-6,-4,8,-20,-4,8,-8,-2,3,-8,-5,8,-4,13,8,6,1,-1,9,-8,-11,3]
[-6,-3,-5,-1,-1,-17,7,-5,6,-5,-8,-2,1,-19,-4,2,-13,-4,4,-10,-4,10,-1,8,7,3,-1,-2,12,-9,-8,1]
[-9,-2,-6,-1,-2,-15,7,-5,0,-4,-5,9,1,-25,-1,3,-15,-3,2,-14,-8,11,6,16,11,-3,4,2,15,-14,-12,1]
[-3,-13,2,-11,-14,3,-4,1,3,-15,1,8,12,-20,4,-4,-11,14,-1,-16,-19,2,2,20,4,6,3,0,3,-8,-24,9]
[-7,5,9,-5,-5,-2,-16,-1,12,-9,-15,3,3,-13,-2,23,-21,21,0,-15,-20,19,-4,2,4,7,20,10,1,3,-35,1]
[-5,-16,1,-9,-14,-2,3,-6,9,-4,-4,18,-1,-9,-16,8,-20,12,0,-21,-18,15,-3,24,6,-9,4,29,11,-7,-16,-6]
[-9,-24,6,-9,6,-41,8,-17,0,-10,0,33,1,-14,-6,5,-16,9,4,-46,-24,18,4,18,11,-10,20,18,19,-11,-8,-10]
[-8,-6,21,-23,7,-10,3,-18,-19,-15,4,5,7,-21,1,-4,-25,7,10,-42,-28,25,-11,47,12,-5,17,1,15,-2,0,-5]
